"id"	"name"	"breidd"	"lengd"
1	"Horn"	662740	222430
2	"Ásbúðarrif"	660810	201100
3	"Siglunes"	661190	184990
4	"Flatey"	661030	175030
5	"Lágey"	661780	170680
6	"Rauðinúpur"	663070	163240
7	"Rifstangi"	663230	161180
8	"Hraunhafnartangi"	663220	160150
9	"Langanes"	662270	143190
10	"Glettinganes"	653050	133630
11	"Norðfjarðarhorn"	651000	133080
12	"Gerpir"	650470	132960
13	"Hólmur"	645890	133060
14	"Setusker"	645770	133150
15	"Þursasker"	645410	133680
16	"Ystiboði"	643520	140150
17	"Selsker"	643280	140700
18	"Hvítingar"	642390	142800
19	"Stokksnes"	641410	145840
20	"Hrollaugseyjar"	640170	155870
21	"Tvísker"	635570	161130
22	"Ingólfshöfði"	634780	163850
23	"Hvalsíki"	634410	173350
24	"MeðallandssandurI"	633240	175560
25	"MeðallandssandurII"	633060	175990
26	"Mýrnatangi"	632740	181180
27	"Kötlutangi"	632340	184280
28	"Lundadrangur"	632350	190750
29	"Surtsey"	631770	203620
30	"Eldeyjardrangur"	634380	225940
31	"Geirfugladrangur"	634070	231710
32	"Skálasnagi"	645130	240250
33	"Bjargtangar"	653020	243210
34	"Kópanes"	654840	240600
35	"Barði"	660370	234740
36	"Straumnes"	662570	230840
37	"Kögur"	662830	225550
38	"Horn"	662790	222820
