ices_area,region
22,3_C_22
23,3_B_23
24,3_D_24
25,3_D_25
26,3_D_26
27,3_D_27
29,3_D_29
30,3_D_30
31,3_D_31
32,3_D_32
28-1,3_D_28_1
28-2,3_D_28_2
Ia,1_A
Ib,1_B
IIa1,2_A_1
IIa2,2_A_2
IIb1,2_B_1
IIb2,2_B_2
IIIa,3_A
IVa,4_A
IVb,4_B
IVc,4_C
Va1,5_A_1
Va2,5_A_2
Vb1a,5_B_1_A
Vb1b,5_B_1_B
Vb2,5_B_2
VIa,6_A
VIb1,6_B_1
VIb2,6_B_2
VIIa,7_A
VIIb,7_B
VIIc1,7_C_1
VIIc2,7_C_2
VIId,7_D
VIIe,7_E
VIIf,7_F
VIIg,7_G
VIIh,7_H
VIIj1,7_J_1
VIIj2,7_J_2
VIIk1,7_K_1
VIIk2,7_K_2
VIIIa,8_A
VIIIb,8_B
VIIIc,8_C
VIIId1,8_D_1
VIIId2,8_D_2
VIIIe1,8_E_1
VIIIe2,8_E_2
IXa,9_A
IXb1,9_B_1
IXb2,9_B_2
Xa1,10_A_1
Xa2,10_A_2
Xb,10_B
XIIa1,12_A_1
XIIa2,12_A_2
XIIa3,12_A_3
XIIa4,12_A_4
XIIb,12_B
XIIc,12_C
XIVa,14_A
XIVb1,14_B_1
XIVb2,14_B_2
